,Name,Price,Rating,city,Kilometers,Year_of_Purchase,Owner,Fuel_Type,Transmission,RTO,Insurance,Insurance_Type,Month_of_Purchase
163, Hyundai Elite i SPORTZ .,550000,4.4,hyderabad,10994,2018,First ,Petrol,MANUAL,RTOTS11,,Expired,September
164, Maruti SX ZXI,192000,3.7,hyderabad,73272,2008,Second ,Petrol,MANUAL,RTOAP27,28/12/2021,Third_party,January
165, Maruti  STD,75000,3.2,hyderabad,36124,2007,Second ,Petrol,MANUAL,RTOAP11,,Expired,September
166, Maruti Wagon R . VXI,325000,4.3,hyderabad,1,2013,First ,Petrol,MANUAL,RTOAP09,18/4/2021,Comprehensive,April
167, Maruti Swift VXI,490000,4.4,hyderabad,29564,2015,First ,Petrol,MANUAL,RTOTS07,6/5/2021,ZeroDepreciation,January
168, Honda City V MT PETROL,435000,4.2,hyderabad,42767,2012,First ,Petrol,MANUAL,RTOUP32,5/5/2021,Comprehensive,February
169, Tata Nano STD,70000,2.8,hyderabad,31549,2012,Second ,Petrol,MANUAL,RTOAP36,,Expired,July
170, Hyundai Santro Xing GL,160000,3.7,hyderabad,60339,2008,Second ,Petrol,MANUAL,RTOAP09,,Expired,November
171, Maruti Alto  LXI,310000,4.5,hyderabad,19998,2018,First ,Petrol,MANUAL,RTOTS08,6/11/2021,Comprehensive,September
172, Maruti Wagon R LXI,120000,3.7,hyderabad,81052,2002,Second ,Petrol + LPG,MANUAL,RTOAP09,,Expired,August
173, Tata Tiago XZA+ . RTN ,638000,4.9,hyderabad,2723,2020,First ,Petrol,,RTOTS08,,Expired,February
174, Maruti Swift Dzire ZDI,350000,3.9,hyderabad,70024,2011,First ,Diesel,MANUAL,RTOAP29,24/12/2021,Comprehensive,December
175, Tata Tiago 	XZA . REVOTRON,450000,3.8,hyderabad,19003,2018,First ,Petrol,,RTOTS08,30/5/2021,ZeroDepreciation,January
176, Hyundai Eon ERA PLUS,165000,3.7,hyderabad,48108,2013,First ,Petrol,MANUAL,RTOAP28,,Expired,February
177, Toyota Qualis FS F,135000,3,hyderabad,23942,2004,Second ,Diesel,MANUAL,RTOAP12,,Expired,September
178, Ford Figo Aspire . AMBIENTE DIESEL,380000,3.9,hyderabad,56295,2016,First ,Diesel,MANUAL,RTOTS13,,Expired,October
179, Maruti Eeco  STR,225000,4.5,hyderabad,17102,2010,First ,Petrol,MANUAL,RTOAP10,13/10/2021,Comprehensive,September
180, Renault Kwid RXL,310000,4.4,hyderabad,17758,2017,First ,Petrol,MANUAL,RTOTS09,,Expired,July
181, Hyundai Santro LP ZIP PLUS,65000,3.8,hyderabad,64399,2003,First ,Petrol,MANUAL,RTOAP11,23/2/2021,Comprehensive,February
182, Maruti Wagon R LXI MINOR,160000,4,hyderabad,40489,2006,First ,Petrol,MANUAL,RTOAP09,,Expired,October
183, Hyundai i MAGNA . IRDE,330000,4.1,hyderabad,59489,2014,Second ,Petrol,MANUAL,RTOTS11,24/3/2021,Third_party,May
184, Mitsubishi Lancer GLXI .,59500,2.9,hyderabad,129185,2000,Sixth ,Petrol + LPG,MANUAL,RTOAP09,,Expired,April
185, Maruti Celerio VXI AMT,340000,3.9,hyderabad,41085,2014,First ,Petrol,AUTOMATIC,RTOTS07,30/10/2021,Comprehensive,September
186, Tata Tiago XT . REVOTRON,430000,4.4,hyderabad,9166,2018,Second ,Petrol,MANUAL,RTOTS10,,Expired,September
187, Renault Kwid CLIMBER .,395000,4.7,hyderabad,16632,2018,First ,Petrol,,RTOTS07,18/3/2021,Comprehensive,January
188, Maruti Ritz VXI BS IV,230000,3.4,hyderabad,1,2010,Second ,Petrol,MANUAL,RTOAP09,,Expired,August
189, Maruti Wagon R LXI,130000,3.5,hyderabad,79176,2007,First ,Petrol + LPG,MANUAL,RTOMH06,14/6/2021,Comprehensive,May
190, Hyundai Santro Xing XG,90000,3.4,hyderabad,62094,2003,Fifth ,Petrol,MANUAL,RTOAP09,,Expired,June
191, Maruti Alto K VXI AMT,300000,4.6,hyderabad,19717,2015,First ,Petrol,,RTOTS11,,Expired,September
192, Hyundai Grand i ASTA . KAPPA VTVT,550076,4.4,hyderabad,17472,2018,First ,Petrol,MANUAL,RTOTS09,9/1/2021,Comprehensive,October
193, Maruti Swift VXI .,210000,3.9,hyderabad,101073,2006,Second ,Petrol,MANUAL,RTOAP28,29/9/2021,Third_party,April
194, Maruti Wagon R . VXI,360000,4.2,hyderabad,31980,2017,Second ,Petrol,MANUAL,RTOTS07,,Expired,July
195, Maruti Alto  LXI,285000,4.7,hyderabad,14161,2015,First ,Petrol,MANUAL,RTOTS07,,Expired,May
