,Name,Price,Rating,city,Kilometers,Year_of_Purchase,Owner,Fuel_Type,Transmission,RTO,Insurance,Insurance_Type,Month_of_Purchase
30723, Tata Indigo LS TDI BS III,35000,3.3,chandigarh,206967,2006,Third ,Diesel,MANUAL,RTOCH04,,Expired,October
30724, Mahindra Kuv K D  STR,408600,4.3,chandigarh,42438,2016,First ,Diesel,MANUAL,RTOCH01,10/7/2021,Third_party,April
30725, Maruti Alto LX,70000,3.4,chandigarh,161568,2001,Third ,Petrol,MANUAL,RTOPB36,,Expired,May
30726, Tata Indica V LS,75201,3.7,chandigarh,160814,2013,First ,Diesel,MANUAL,RTOCH01,,Expired,February
30727, Ford Figo . ZXI DURATORQ ,172000,4.1,chandigarh,177301,2011,Third ,Diesel,MANUAL,RTOCH01,22/11/2020,Comprehensive,November
30728, Maruti Esteem VXI,84000,4,chandigarh,63931,2005,Second ,Petrol,MANUAL,RTOCH03,11/2/2021,Third_party,December
30729, Maruti Vitara Brezza ZDI PLUS,905000,4.6,chandigarh,38370,2017,First ,Diesel,MANUAL,RTOPB30,13/12/2021,ZeroDepreciation,December
30730, Mahindra XUV W AT,1390000,4.7,chandigarh,41189,2018,First ,Diesel,,RTOHP12,,Expired,August
30731, Tata Hexa Varicor  XM ,900833,4.5,chandigarh,50581,2017,First ,Diesel,MANUAL,RTOPB65,15/12/2020,ZeroDepreciation,January
30732, Tata Indigo ECS LS TDI,194400,4.2,chandigarh,81591,2014,First ,Diesel,MANUAL,RTOPB65,10/8/2021,Comprehensive,June
30733, Hyundai Creta . VTVT SX AUTO,1282500,4.9,chandigarh,20104,2019,First ,Petrol,AUTOMATIC,RTOCH01,26/3/2022,Third_party,March
30734, Hyundai Santro Xing XL ERLX EURO III,75000,3.9,chandigarh,117558,2006,Second ,Petrol,MANUAL,RTOHR10,19/5/2021,Third_party,May
30735, Nissan Terrano XL  DIESEL,360000,4,chandigarh,85060,2013,Second ,Diesel,MANUAL,RTOHR51,3/9/2021,Comprehensive,November
30736, Volkswagen Vento HIGHLINE DIESEL,250000,4,chandigarh,91498,2012,Third ,Diesel,MANUAL,RTOPB11,,Expired,June
30737, Maruti Swift Dzire VDI,150500,3.1,chandigarh,214418,2009,Fourth ,Diesel,MANUAL,RTOHR26,24/9/2021,Third_party,February
30738, Maruti Baleno SIGMA DDIS  ,450000,4.1,chandigarh,93017,2017,Second ,Diesel,MANUAL,RTOHR92,6/6/2021,ZeroDepreciation,May
30739, Mahindra Bolero SLX,431000,4.2,chandigarh,49912,2012,First ,Diesel,MANUAL,RTOPB65,18/5/2021,Comprehensive,November
30740, Hyundai Santro Xing XK ERLX EURO III,63180,4,chandigarh,88747,2005,First ,Petrol,MANUAL,RTOPB35,18/5/2021,Third_party,November
30741, Maruti Alto K VXI ,221000,4.2,chandigarh,91543,2012,Third ,Petrol,MANUAL,RTODL1C,22/11/2021,Third_party,February
30742, Toyota Corolla Altis . G,270000,4.2,chandigarh,89028,2009,Third ,Petrol,,RTOCH01,14/7/2021,Comprehensive,May
30743, Maruti Celerio VXI AMT,385000,4.1,chandigarh,79349,2015,Second ,Petrol,AUTOMATIC,RTOHR08,18/8/2021,Comprehensive,July
30744, Toyota Innova . G  STR,450000,4.3,chandigarh,90214,2011,First ,Diesel,MANUAL,RTOHR68,,Expired,February
30745, Hyundai Getz Prime . GVS,94075,3.5,chandigarh,61049,2007,Second ,Petrol,MANUAL,RTODL4C,,Expired,August
30746, Volkswagen Polo HIGHLINE.L DIESEL,325000,4.3,chandigarh,97327,2013,Second ,Diesel,MANUAL,RTOPB65,26/2/2021,Comprehensive,January
30747, Hyundai Xcent E . CRDI,410000,4.1,chandigarh,54603,2017,Second ,Diesel,MANUAL,RTOHR82,12/2/2021,Comprehensive,July
30748, Volkswagen Polo HIGHLINE.L DIESEL,330000,4.3,chandigarh,79095,2014,First ,Diesel,MANUAL,RTOHR91,8/3/2021,Comprehensive,May
30749, Maruti Ciaz VDI+ SHVS,600000,4.3,chandigarh,55382,2016,First ,Diesel,MANUAL,RTOHR01,9/4/2021,ZeroDepreciation,April
30750, Mahindra Scorpio . SLX CRDE,192500,3.4,chandigarh,157261,2006,Second ,Diesel,MANUAL,RTOCH03,15/4/2021,Comprehensive,April
30751, Mahindra XUV W FWD,1056000,4.1,chandigarh,86287,2017,First ,Diesel,,RTOHR22,15/11/2021,ZeroDepreciation,October
30752, Volkswagen Polo TRENDLINE .L DIESEL,190363,3.7,chandigarh,69983,2011,Third ,Diesel,MANUAL,RTODL10,3/9/2021,Third_party,August
30753, Volkswagen Polo TRENDLINE .L DIESEL,225000,3.6,chandigarh,80416,2012,Third ,Diesel,MANUAL,RTOHR26,,Expired,September
30754, Hyundai Verna VGT CRDI SX,205000,3.4,chandigarh,104264,2008,Second ,Diesel,MANUAL,RTOCH04,21/9/2021,Third_party,March
30755, Maruti  STD,54675,2.8,chandigarh,66819,2000,Third ,Petrol,MANUAL,RTOHR01,4/11/2020,Third_party,January
30756, Maruti Swift VDI,300000,4,chandigarh,128301,2012,First ,Diesel,MANUAL,RTOCH01,7/3/2021,Comprehensive,March
30757, Mahindra XUV W (O) AT,1650000,4.9,chandigarh,27054,2019,First ,Diesel,MANUAL,RTOPB39,15/10/2022,Third_party,August
30758, Maruti Wagon R LXI,110000,4.1,chandigarh,76290,2009,First ,Petrol,MANUAL,RTODL9C,2/10/2021,Comprehensive,May
30759, Maruti Vitara Brezza ZDI PLUS DUAL TONE,725000,4.6,chandigarh,64100,2016,First ,Diesel,MANUAL,RTOPB65,27/3/2021,ZeroDepreciation,March
30760, Hyundai Santro Xing XP,100000,3.9,chandigarh,112369,2005,Third ,Petrol,MANUAL,RTOCH01,21/11/2021,Third_party,March
30761, Maruti Alto LXI,120000,3.8,chandigarh,110616,2007,First ,Petrol,MANUAL,RTODL8C,10/3/2021,Third_party,December
30762, Hyundai Grand i MAGNA . VTVT,552000,3.8,chandigarh,54079,2017,First ,Petrol,MANUAL,RTOCH01,,Expired,December
30763, Fiat Punto EVO DYNAMIC . MULTIJET,425000,4.2,chandigarh,58136,2016,First ,Diesel,MANUAL,RTOPB65,9/5/2021,Comprehensive,February
30764, Hyundai i MAGNA O . CRDI,180000,3,chandigarh,100904,2011,Fourth ,Diesel,MANUAL,RTOHR70,10/1/2021,Third_party,April
30765, Maruti Alto LXI,115000,3.9,chandigarh,101538,2007,Third ,Petrol,MANUAL,RTOCH03,,Expired,March
30766, Ford Endeavour .l X AT Titanium,3000000,4.8,chandigarh,19663,2018,First ,Diesel,AUTOMATIC,RTOHR01,,Expired,January
30767, Tata NEXON XZA+ .,902000,4.9,chandigarh,27867,2018,First ,Diesel,,RTOPB65,13/2/2021,ZeroDepreciation,October
30768, Hyundai Verna XI,122000,3.5,chandigarh,105112,2007,Third ,Petrol + CNG,MANUAL,RTODL8C,,Expired,March
30769, Tata Safari X EX DICOR BS IV,230000,4.2,chandigarh,70174,2011,Second ,Diesel,MANUAL,RTOCH01,5/12/2021,Comprehensive,March
30770, Hyundai Verna FLUIDIC . SX CRDI OPT,350000,4.2,chandigarh,89057,2012,Second ,Diesel,MANUAL,RTOHR51,24/7/2021,Comprehensive,June
30771, Mahindra XUV W X,1044000,4.6,chandigarh,79566,2017,Second ,Diesel,MANUAL,RTOCH01,13/8/2021,ZeroDepreciation,August
30772, Mahindra XUV W FWD,389000,4,chandigarh,88496,2011,First ,Diesel,MANUAL,RTODL3C,14/2/2021,Comprehensive,October
30773, Honda City . DX,108000,3.4,chandigarh,122772,2003,First ,Petrol,,RTOPB11,2/6/2021,Comprehensive,January
30774, Honda Amaze . VXMT (O) I DTEC,359000,4.4,chandigarh,70223,2015,Second ,Diesel,MANUAL,RTODL7C,16/7/2021,Comprehensive,May
30775, Honda City V MT PETROL,320000,4.2,chandigarh,87350,2011,Second ,Petrol,MANUAL,RTOHR26,,Expired,August
30776, Maruti Alto LXI,140000,3.8,chandigarh,94298,2010,Third ,Petrol,MANUAL,RTOCH01,1/6/2021,Third_party,May
30777, Honda Accord . MT,176000,3.7,chandigarh,110263,2008,Fourth ,Petrol,MANUAL,RTOPB08,,Expired,July
30778, Maruti SX ZXI,222000,4.1,chandigarh,69829,2010,Third ,Petrol,MANUAL,RTOCH01,19/7/2021,Comprehensive,July
30779, Maruti Alto  LXI,192400,4.1,chandigarh,73167,2012,Fourth ,Petrol,MANUAL,RTOCH01,9/2/2021,Third_party,December
30780, Mahindra Scorpio VLX AIRBAG AT BS IV,325000,3.9,chandigarh,79438,2010,Second ,Diesel,AUTOMATIC,RTOHR26,,Expired,October
30781, Chevrolet Sail . BASE,160000,4.1,chandigarh,112215,2013,Second ,Diesel,MANUAL,RTOCH01,8/3/2021,Comprehensive,February
30782, Tata NEXON XM .,800091,4.9,chandigarh,30604,2019,First ,Petrol,MANUAL,RTOPB65,19/10/2020,ZeroDepreciation,September
30783, Honda City V AT,1100000,4.9,chandigarh,18636,2018,First ,Petrol,AUTOMATIC,RTOPB65,10/3/2021,ZeroDepreciation,January
30784, Skoda Rapid . MPI MT ACTIVE,715000,4.6,chandigarh,26522,2018,First ,Petrol,MANUAL,RTOPB48,17/9/2021,ZeroDepreciation,May
30785, Toyota Etios Liva GD,365000,4.2,chandigarh,61383,2012,First ,Diesel,MANUAL,RTOCH01,5/3/2021,Third_party,March
30786, Mercedes Benz CLA Class CLA  SPORT,2904000,5,chandigarh,3000,2018,First ,Petrol,MANUAL,RTOMH02,18/11/2021,ZeroDepreciation,September
30787, Honda City VX MT PETROL,770000,4.7,chandigarh,19625,2015,First ,Petrol,MANUAL,RTOCH01,14/4/2021,ZeroDepreciation,July
30788, Ford Endeavour .l X AT Titanium,2320500,4.6,chandigarh,83184,2016,First ,Diesel,AUTOMATIC,RTOCH01,24/10/2021,ZeroDepreciation,September
30789, Maruti Swift VDI ABS,407000,4.3,chandigarh,72379,2015,First ,Diesel,MANUAL,RTOHR76,29/1/2021,Comprehensive,January
30790, Chevrolet Tavera NEO LS B  STR BS III,130000,3.3,chandigarh,550993,2006,Second ,Diesel,MANUAL,RTOCH01,,Expired,October
30791, Honda City V MT DIESEL,1075000,4.7,chandigarh,43320,2018,First ,Diesel,MANUAL,RTOPB87,29/12/2021,ZeroDepreciation,December
30792, Toyota Innova . VX  STR BS IV,855000,4,chandigarh,101463,2015,First ,Diesel,MANUAL,RTOHR04,6/7/2021,Comprehensive,January
30793, Maruti Swift VDI,400000,4.2,chandigarh,84235,2014,Second ,Diesel,MANUAL,RTOHR26,25/7/2021,Comprehensive,July
30794, Mahindra XUV W,1399600,4.7,chandigarh,32548,2018,First ,Diesel,MANUAL,RTOPB65,21/1/2021,ZeroDepreciation,January
30795, Maruti Swift VDI,250000,3.9,chandigarh,108863,2011,Third ,Diesel,MANUAL,RTOHR02,19/11/2021,Third_party,March
30796, Hyundai Eon ERA PLUS,192000,3.6,chandigarh,69594,2012,Third ,Petrol,MANUAL,RTOCH01,17/11/2021,Third_party,April
30797, Hyundai i MAGNA . KAPPA,250000,4.2,chandigarh,77644,2012,Second ,Petrol,MANUAL,RTOPB65,11/3/2021,Comprehensive,February
30798, Maruti Vitara Brezza ZDI,900000,4.7,chandigarh,29691,2017,First ,Diesel,MANUAL,RTOCH01,28/12/2021,ZeroDepreciation,November
30799, Maruti Swift VDI,350000,4.2,chandigarh,84336,2012,Second ,Diesel,MANUAL,RTOHR09,11/3/2021,Comprehensive,February
30800, Volkswagen Polo HIGHLINE.L DIESEL,275000,4,chandigarh,76663,2013,Second ,Diesel,MANUAL,RTOHR26,24/8/2021,Comprehensive,July
30801, Toyota Etios Liva D D GD,360000,3.9,chandigarh,93877,2013,First ,Diesel,MANUAL,RTOPB11,31/1/2021,Expired,June
30802, BMW  Series D,865618,4.2,chandigarh,60521,2008,First ,Diesel,AUTOMATIC,RTOCH04,18/7/2021,Comprehensive,October
30803, Nissan Sunny XV DIESEL,230000,3.7,chandigarh,99511,2013,Second ,Diesel,MANUAL,RTOPB10,8/2/2021,Third_party,February
30804, Hyundai Santro Xing XG,60000,1,chandigarh,75928,2004,First ,Petrol,MANUAL,RTOKA03,,Expired,January
30805, Mercedes Benz E Class E  CDI AVANTGARDE,2200000,4.8,chandigarh,39854,2015,Second ,Diesel,MANUAL,RTOPB65,17/4/2021,Third_party,September
30806, Toyota Innova Crysta . VX  STR,1800000,4.8,chandigarh,25843,2018,First ,Diesel,MANUAL,RTOHR05,27/12/2020,ZeroDepreciation,November
30807, Renault Captur RXT DIESEL MT,945000,4.5,chandigarh,30481,2017,First ,Diesel,MANUAL,RTOHR08,,Expired,September
30808, Maruti Ertiga ZXI Plus SHVS,854000,4.9,chandigarh,10286,2019,First ,Petrol,,RTOPB48,27/1/2022,Third_party,January
30809, Ford Figo . EXI DURATORQ ,140000,3.5,chandigarh,94177,2010,Second ,Diesel,MANUAL,RTOPB23,,Expired,March
30810, Honda Amaze . VXMT I VTEC,340000,4.1,chandigarh,93382,2013,Second ,Petrol,MANUAL,RTOCH01,3/11/2021,Comprehensive,March
30811, Tata Tiago XM . REVOTRON,300000,4,chandigarh,57770,2017,Second ,Petrol,MANUAL,RTOHR02,31/10/2021,ZeroDepreciation,September
30812, Maruti Swift LXI .,110000,3.2,chandigarh,135184,2006,Second ,Petrol,MANUAL,RTOHR03,6/5/2021,Third_party,March
30813, Mahindra Thar CRDE X BS IV,675000,4.5,chandigarh,59760,2017,Second ,Diesel,MANUAL,RTOHR03,20/4/2021,Comprehensive,January
30814, Maruti Swift Dzire VDI BS IV,440000,4.3,chandigarh,79617,2014,First ,Diesel,MANUAL,RTOHP72,31/7/2021,Comprehensive,March
30815, Hyundai Santro Xing XG,65000,3.5,chandigarh,145654,2004,Fourth ,Petrol,MANUAL,RTOCH03,1/12/2020,Third_party,October
30816, Hyundai i SPORTZ . CRDI,333000,3.9,chandigarh,83986,2012,Third ,Diesel,MANUAL,RTOPB65,9/8/2021,Comprehensive,July
30817, Landrover Freelander  TD SE,1224000,3.3,chandigarh,78394,2013,First ,Diesel,AUTOMATIC,RTOCH01,,Expired,May
30818, BMW  Series D,908000,4.3,chandigarh,75769,2012,First ,Diesel,AUTOMATIC,RTOCH01,4/8/2021,Comprehensive,March
30819, BMW  Series D .,800000,3.7,chandigarh,91968,2010,Third ,Diesel,AUTOMATIC,RTOHR26,6/9/2021,Third_party,September
30820, Maruti Ciaz VDI+ SHVS,676000,4.4,chandigarh,46244,2017,First ,Diesel,MANUAL,RTOCH01,,Expired,January
30821, Hyundai Santro Xing GLS,102000,3.9,chandigarh,54164,2007,Second ,Petrol,MANUAL,RTOUP32,5/3/2021,Comprehensive,November
30822, Toyota YARIS J CVT,899000,4.7,chandigarh,25984,2018,First ,Petrol,,RTOCH01,28/12/2021,ZeroDepreciation,August
30823, Toyota YARIS G CVT,950000,4.8,chandigarh,14236,2018,First ,Petrol,,RTOCH01,26/5/2022,Third_party,June
30824, Toyota Innova . GX  STR BS IV,510000,4.1,chandigarh,113106,2012,Third ,Diesel,MANUAL,RTOHR11,,Expired,November
30825, Volvo S SUMMUM D,1561000,4.6,chandigarh,53700,2017,Second ,Diesel,AUTOMATIC,RTOPB08,14/4/2021,ZeroDepreciation,January
30826, Maruti Swift VXI .,220000,3.8,chandigarh,97541,2009,Third ,Petrol + CNG,MANUAL,RTOCH01,14/12/2021,Third_party,December
30827, Maruti Zen LX,72000,3.5,chandigarh,243703,2000,Fourth ,Petrol,MANUAL,RTOCH04,,Expired,December
30828, Maruti Zen VX,45000,1,chandigarh,22532,1999,Sixth ,Petrol,MANUAL,RTOCH01,,Expired,August
30829, Hyundai Accent GLS,140000,3.2,chandigarh,97470,2004,First ,Petrol,MANUAL,RTOHR01,5/11/2020,Third_party,November
30830, Maruti Swift Dzire VDI ABS,420000,4.2,chandigarh,86663,2015,First ,Diesel,,RTOCH01,9/7/2021,ZeroDepreciation,January
30831, Mitsubishi Lancer LXD .,110000,3.7,chandigarh,182278,2007,First ,Diesel,MANUAL,RTOCH04,21/9/2021,Comprehensive,January
30832, Tata Tiago XE . REVOTORQ,250000,4.2,chandigarh,94263,2016,First ,Diesel,MANUAL,RTODL1C,4/4/2021,Comprehensive,July
30833, Honda BR-V . i- DTEC V,550000,4.2,chandigarh,83657,2016,First ,Diesel,MANUAL,RTOPB65,7/7/2021,Comprehensive,September
30834, Nissan Sunny XL DIESEL,251000,4.1,chandigarh,99897,2013,Second ,Diesel,MANUAL,RTOCH01,10/2/2021,Comprehensive,January
30835, Toyota Innova . GX  STR BS IV,820000,4.6,chandigarh,89211,2015,First ,Diesel,MANUAL,RTOPB65,28/2/2021,ZeroDepreciation,February
30836, Maruti Swift Dzire ZDI,200000,4.1,chandigarh,182638,2008,First ,Diesel,MANUAL,RTOCH04,,Expired,January
30837, Maruti Ciaz ALPHA . DDIS SHVS ,828000,4.6,chandigarh,40911,2017,First ,Diesel,MANUAL,RTOPB65,2/9/2021,ZeroDepreciation,August
30838, Honda City S MT PETROL,510000,4.4,chandigarh,46529,2013,First ,Petrol,MANUAL,RTOCH01,8/6/2021,Comprehensive,March
30839, Tata NEXON XZ+ . ,1000000,4.9,chandigarh,13669,2019,First ,Diesel,MANUAL,RTOPB65,27/9/2022,Third_party,January
30840, Toyota Innova . V STR,160000,1,chandigarh,220124,2007,First ,Diesel,MANUAL,RTODL4C,1/1/2022,Third_party,January
30841, Mahindra XUV W AT,1250000,4.9,chandigarh,22204,2019,First ,Diesel,,RTOPB65,29/9/2022,ZeroDepreciation,July
30842, Chevrolet Sail . LS ABS,183000,4.3,chandigarh,64532,2013,First ,Petrol,MANUAL,RTORJ07,22/6/2021,Comprehensive,January
30843, BMW  Series D,834385,4.1,chandigarh,59586,2012,Second ,Diesel,AUTOMATIC,RTODL1C,,Expired,December
30844, Honda WR-V . i-DTEC VX MT,770000,4.5,chandigarh,67526,2018,First ,Diesel,MANUAL,RTOCH01,2/4/2021,ZeroDepreciation,January
30845, Mahindra Kuv K D  STR,380000,4.4,chandigarh,47283,2017,First ,Diesel,MANUAL,RTOPB70,25/11/2021,Comprehensive,April
30846, Fiat Grand Punto EMOTION PACK .,95000,3.8,chandigarh,151292,2009,Third ,Diesel,MANUAL,RTODL4C,22/3/2021,Third_party,August
30847, Maruti Ertiga VDI ABS,335000,3.9,chandigarh,90288,2012,Second ,Diesel,MANUAL,RTOHR49,19/9/2021,Comprehensive,June
30848, Honda Civic ZX CVT PETROL,1844000,4.7,chandigarh,39268,2019,First ,Petrol,,RTOPB65,22/4/2021,Comprehensive,February
30849, Hyundai i SPORTZ . KAPPA,230000,4.2,chandigarh,83508,2013,Third ,Petrol,MANUAL,RTOHR03,,Expired,May
30850, Volkswagen Polo HIGHLINE.L DIESEL,250400,3.5,chandigarh,91229,2013,Third ,Diesel,MANUAL,RTOPB11,,Expired,January
30851, Maruti Ciaz ZDI+ SHVS,600000,4.2,chandigarh,68762,2016,Second ,Diesel,MANUAL,RTOHR01,15/7/2021,ZeroDepreciation,July
30852, Ford Fiesta . ZXI TDCI,111000,3.2,chandigarh,91306,2006,Second ,Diesel,MANUAL,RTOPB12,,Expired,July
30853, Ford Figo . TITANIUM DURATORQ,145000,4.2,chandigarh,103947,2010,First ,Diesel,MANUAL,RTOPB08,1/5/2021,Comprehensive,January
30854, Maruti XL ALPHA SHVS  MT ,1052000,4.9,chandigarh,18569,2019,First ,Petrol,,RTOCH01,28/10/2022,Third_party,October
30855, Maruti Ertiga VDI SHVS,592000,4.3,chandigarh,68225,2016,First ,Diesel,MANUAL,RTOHP64,12/3/2021,Comprehensive,January
30856, Tata Indigo ECS VX,64800,3.8,chandigarh,128485,2012,First ,Diesel,MANUAL,RTODL6C,,Expired,October
30857, Honda Amaze . SMT I DTEC,352000,4.2,chandigarh,74893,2014,First ,Diesel,MANUAL,RTOCH01,19/4/2021,Comprehensive,January
30858, Maruti Ciaz DELTA . VVT,808500,4.9,chandigarh,13208,2017,First ,Petrol,MANUAL,RTOPB65,26/4/2021,ZeroDepreciation,April
30859, Nissan Terrano XL  PS DEISEL,320000,4,chandigarh,100161,2013,First ,Diesel,MANUAL,RTOCH01,18/3/2021,Comprehensive,November
30860, Tata NEXON XM .,650846,4.7,chandigarh,33252,2019,First ,Petrol,MANUAL,RTOPB65,27/7/2021,ZeroDepreciation,June
30861, Hyundai Santro GLS II EURO II,42000,3.2,chandigarh,130173,2002,Third ,Petrol,MANUAL,RTOPB11,26/1/2022,Third_party,March
30862, Maruti Swift Dzire LXI . BS IV,212000,3.8,chandigarh,79708,2010,Fourth ,Petrol,MANUAL,RTOHR09,17/9/2021,Comprehensive,November
30863, Mahindra MARAZZO M STR,1048500,4.7,chandigarh,995,2019,First ,Diesel,,RTOPB74,10/4/2021,ZeroDepreciation,January
30864, Ford Fiesta . ZXI TDCI,90000,4,chandigarh,94146,2006,Second ,Diesel,MANUAL,RTOPB65,,Expired,May
30865, Maruti Zen MH,45000,3.3,chandigarh,63692,1997,Fourth ,Petrol + LPG,,RTOHR07,,Expired,December
30866, Maruti Swift Dzire VDI BS IV,351000,4.2,chandigarh,78107,2012,Third ,Diesel,MANUAL,RTOCH01,26/12/2020,Comprehensive,December
30867, Maruti Swift VDI,330000,4.2,chandigarh,113503,2012,First ,Diesel,MANUAL,RTOCH01,24/6/2021,Comprehensive,June
30868, Hyundai Xcent SX . CRDI,468000,4,chandigarh,80139,2017,Second ,Diesel,,RTOHR14,3/4/2021,Comprehensive,July
30869, Maruti Ritz LXI ,300000,4.2,chandigarh,69101,2016,Second ,Petrol,MANUAL,RTOHR13,22/8/2021,Third_party,June
30870, Maruti Swift VDI,389000,4,chandigarh,94297,2014,Second ,Diesel,MANUAL,RTOHR72,15/2/2021,Third_party,January
30871, Mahindra XUV W,1250000,4.4,chandigarh,41179,2017,First ,Diesel,MANUAL,RTOHP63,25/12/2020,Comprehensive,September
30872, Maruti Swift Dzire VXI,175000,3.9,chandigarh,105307,2010,First ,Petrol,MANUAL,RTOHR01,23/10/2021,Third_party,March
30873, Mahindra Scorpio VLX WD BS IV,401000,4.4,chandigarh,94440,2011,First ,Diesel,MANUAL,RTODL4C,20/7/2021,Comprehensive,June
30874, Renault Duster  PS RXL,381330,4.1,chandigarh,82265,2013,Second ,Diesel,MANUAL,RTOCH01,30/12/2020,Comprehensive,June
30875, Tata Indica V DLX BS III,50000,3.8,chandigarh,92024,2007,First ,Diesel,MANUAL,RTOPB65,,Expired,July
30876, Hyundai Creta . SX (O) CRDI,950000,4.7,chandigarh,47388,2017,Second ,Diesel,,RTOPB05,,Expired,March
30877, Maruti Wagon R LXI,59000,1,chandigarh,99486,2005,First ,Petrol,MANUAL,RTOPB08,,Expired,January
30878, Mahindra Scorpio DX . TURBO  STR,319000,3.6,chandigarh,144831,2005,Second ,Diesel,,RTOCH03,28/11/2021,Third_party,November
30879, Maruti Swift Dzire VDI,124000,3.5,chandigarh,118642,2008,Fourth ,Diesel,MANUAL,RTOMH02,10/7/2021,Third_party,March
30880, Maruti Swift Dzire LDI BS IV,300000,4,chandigarh,75259,2012,Second ,Diesel,MANUAL,RTOCH01,26/5/2021,Comprehensive,March
30881, Maruti Ritz VDI ,180000,4.1,chandigarh,94710,2009,First ,Diesel,MANUAL,RTOCH01,,Expired,December
30882, Maruti  STD,23400,1,chandigarh,85600,1990,Second ,Petrol,MANUAL,RTOCH03,,Expired,January
30883, Maruti Swift Dzire LDI BS IV,450000,4.4,chandigarh,84932,2015,Second ,Diesel,MANUAL,RTOHR26,15/5/2021,Comprehensive,April
30884, Honda City ZX GXI,150000,4,chandigarh,111877,2006,First ,Petrol,MANUAL,RTOCH03,,Expired,January
30885, Honda Civic .S MT,212000,4.1,chandigarh,94648,2006,First ,Petrol,MANUAL,RTOCH03,,Expired,January
30886, Hyundai i MAGNA . IRDE,100000,3.8,chandigarh,123011,2009,Third ,Petrol + CNG,MANUAL,RTODL7C,23/11/2020,Comprehensive,October
30887, Mahindra XUV W FWD,560000,3.9,chandigarh,123861,2013,First ,Diesel,MANUAL,RTOCH01,17/8/2021,Comprehensive,March
30888, Honda City V AT SUNROOF,425000,4.2,chandigarh,137917,2012,Second ,Petrol,AUTOMATIC,RTOPB23,,Expired,September
30889, Hyundai Verna FLUIDIC . SX CRDI,370000,4.1,chandigarh,109264,2012,First ,Diesel,MANUAL,RTOHR01,24/7/2021,Comprehensive,January
30890, Mahindra TUV T,670000,4.7,chandigarh,58444,2017,First ,Diesel,MANUAL,RTOHR08,20/7/2021,ZeroDepreciation,May
30891, Tata NEXON XM .,751708,4.2,chandigarh,39750,2018,First ,Petrol,MANUAL,RTOCH01,9/2/2021,ZeroDepreciation,January
30892, Toyota Glanza V MT PETROL,700000,4.6,chandigarh,15660,2019,First ,Petrol,,RTOHP20,22/10/2022,Third_party,August
30893, Mahindra Quanto C,250000,3.7,chandigarh,74667,2013,Second ,Diesel,MANUAL,RTOCH01,29/1/2021,Third_party,January
30894, Honda City ZX GXI,131100,3.8,chandigarh,127047,2007,Third ,Petrol,MANUAL,RTOHR03,21/8/2021,Third_party,March
30895, Hyundai Xcent BASE . CRDI,500000,4.7,chandigarh,52410,2016,First ,Diesel,MANUAL,RTOPB65,,Expired,February
30896, Maruti S Cross ZETA .,720000,4.5,chandigarh,61443,2017,First ,Diesel,MANUAL,RTOPB65,12/6/2021,ZeroDepreciation,May
30897, Hyundai Creta . SX CRDI,850000,4.3,chandigarh,55389,2015,Third ,Diesel,,RTOHR70,20/8/2021,ZeroDepreciation,August
30898, Honda City ZX . EXI,185000,4,chandigarh,99945,2007,Second ,Petrol,,RTOCH04,20/7/2021,Third_party,December
30899, Toyota Innova . G  STR,430000,4.1,chandigarh,110741,2011,First ,Diesel,,RTOCH01,21/1/2021,Comprehensive,January
30900, Tata Indigo Marina LS BS III,47975,3.2,chandigarh,235579,2006,Second ,Diesel,MANUAL,RTOCH03,10/11/2020,Comprehensive,January
30901, Maruti Wagon R VXI BS III,150000,4.1,chandigarh,43710,2007,Second ,Petrol,MANUAL,RTOCH01,30/8/2021,Comprehensive,June
30902, Hyundai Santro Xing XL ERLX EURO III,112000,4,chandigarh,89696,2006,Second ,Petrol,MANUAL,RTOCH03,,Expired,January
30903, Tata Indica V Xeta GL . BS III,62400,3.3,chandigarh,24705,2008,Third ,Petrol,MANUAL,RTOPB13,1/9/2021,Third_party,January
30904, Maruti Ritz VDI ,250000,4.1,chandigarh,96900,2012,First ,Diesel,MANUAL,RTOHR02,5/6/2021,Comprehensive,May
30905, Tata Indigo CS ELX,80000,3.6,chandigarh,106406,2011,First ,Diesel,MANUAL,RTOPB65,8/3/2021,Comprehensive,March
30906, Skoda Superb ELEGANCE TDI . AT,670000,4,chandigarh,118730,2012,First ,Diesel,,RTOHR01,27/2/2021,Comprehensive,March
30907, Maruti Swift Dzire VDI,225000,3.6,chandigarh,117107,2011,First ,Diesel,MANUAL,RTOHR70,6/5/2021,Comprehensive,April
30908, Hyundai i SPORTZ . CRDI,390000,4.3,chandigarh,110373,2014,Second ,Diesel,MANUAL,RTOCH01,13/7/2021,Comprehensive,February
30909, Tata Bolt XT QUADRAJET,292000,4.3,chandigarh,59971,2015,First ,Diesel,MANUAL,RTOCH01,20/3/2021,Comprehensive,January
30910, Ford Fiesta . EXI ,85000,4.1,chandigarh,92970,2006,First ,Petrol,MANUAL,RTODL4C,,Expired,May
30911, Hyundai Elite i MAGNA . CRDI,505000,4.3,chandigarh,62681,2017,First ,Diesel,MANUAL,RTOHR02,8/3/2021,Comprehensive,January
30912, Hyundai Verna FLUIDIC . SX CRDI,420000,4.1,chandigarh,104195,2013,Third ,Diesel,MANUAL,RTOHR32,27/9/2021,Comprehensive,July
